,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,divergent
alpha,0.026,0.003,0.02,0.032,0.0,0.0,5346.0,4363.0,1.0,0
tau,7.295,0.528,6.316,8.29,0.008,0.005,4854.0,4591.0,1.0,0
gamma,0.875,0.007,0.862,0.887,0.0,0.0,3539.0,4013.0,1.0,0
eta,0.58,0.06,0.474,0.701,0.001,0.001,3648.0,4499.0,1.0,0
totalLL,-232.557,1.488,-235.214,-230.509,0.027,0.019,3176.0,4526.0,1.0,0
