id,sess,key,block,auc,std_wtw,init_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0104,2,"('s0104', 2)",1,8.0782,2.046812215547456,5.866,7.793111111111112,8.33238,8.573142857142857,7.742138888888889,2.2725960898616195,8.33238,2.27890054497285,1.9566030249840012,0.704,0.8232807017543861,0.03684568699703886,LP
s0104,2,"('s0104', 2)",2,8.97213781024688,2.0123234380501684,,9.911513888888889,11.0618,8.024375,8.19955,2.227287245065019,11.0618,1.6901200354930412,1.9567820132809888,0.7044999999999999,0.7954130434782608,0.02539392065300943,HP
s0105,2,"('s0105', 2)",1,5.559231764705883,1.3463736184294346,7.985,5.242675213675215,4.753375,5.950871794871794,6.642875,1.4049632159254517,4.753375,1.1706356045354933,1.1713480948782904,0.835,0.9840338983050845,0.10591846138961682,LP
s0105,2,"('s0105', 2)",2,10.313370151515153,2.286075511847026,,7.205350427350427,11.254,12.0,12.0,1.2618610435206754,11.254,0.0,0.0,0.8565,1.002574074074074,0.10404786674727326,HP
s0106,2,"('s0106', 2)",1,5.136399656946827,0.9588380688795393,6.165,5.650846153846153,4.70348888888889,5.081133333333333,5.13315,0.7184076672275713,4.70348888888889,0.5025798116425959,1.048603735529617,0.855,0.924828125,0.05493244499411078,LP
s0106,2,"('s0106', 2)",2,4.791750331984647,1.0695766849939405,,4.34002557544757,4.849465384615385,5.688631578947369,4.43525,1.075680344688643,4.849465384615385,1.2963394865026394,0.7010594215186042,0.85,0.913586206896552,0.09687493337488565,HP
s0107,2,"('s0107', 2)",1,4.03637319189971,1.377208039885443,2.488,3.9773025210084025,4.531142857142858,4.1626562499999995,3.485785714285714,0.716936345575456,4.531142857142858,1.0581422284295896,0.8160668896403938,0.852,0.8615606060606062,0.024814593746510377,LP
s0107,2,"('s0107', 2)",2,4.507281491246329,0.9540858008716533,,4.099993421052632,4.6404434523809535,5.7240855614973265,4.336263157894739,0.8531225526669648,4.6404434523809535,2.480561788007524,0.6420745851170141,0.748,0.7532962962962962,0.024829780717233175,HP
s0108,2,"('s0108', 2)",1,4.566736192379215,1.937493072854646,3.42,5.950878321678323,5.6659,3.496086956521739,3.4294166666666666,2.5485828970422926,5.6659,0.8867246151783544,0.5656240592380146,0.827,0.866770491803279,0.02846802752105122,LP
s0108,2,"('s0108', 2)",2,4.757572280130412,1.9261552866811058,,3.78210576923077,4.830631578947369,4.856847222222221,5.920949082264486,0.6859956705160145,4.830631578947369,1.0587328859921057,3.4207253962531796,0.727,0.9175714285714286,0.08180264061545817,HP
s0109,2,"('s0109', 2)",1,4.816371120107962,1.1947530266935853,3.694,4.364177777777778,4.821357142857143,4.981473214285714,5.316233766233767,1.194650358684989,4.821357142857143,0.8130255438771965,1.2895981745671226,0.768,0.8151384615384614,0.03338856323288689,LP
s0109,2,"('s0109', 2)",2,7.165157986495075,2.5111006636785764,,8.072188051146384,8.097386666666667,6.589541176470589,6.057927696078431,2.337218188814117,8.097386666666667,2.3100685579484748,3.122684871317703,0.7855000000000001,0.7876749999999999,0.025649205336130788,HP
s0110,2,"('s0110', 2)",1,3.815116597823674,1.0546912778749369,3.161,4.1302,4.035523809523809,3.89082463768116,3.2103368421052636,0.9878616097409597,4.035523809523809,1.274800718601385,0.6665968656348737,0.84,0.8558032786885245,0.02678390355690966,LP
s0110,2,"('s0110', 2)",2,5.3917481666903875,1.9154496849649136,,5.117273809523811,5.39690731292517,5.605208333333333,5.529636134852801,1.3937633821795345,5.39690731292517,1.2461199774756397,2.146353012785617,0.7725,0.9653125,0.12217292462220171,HP
