id,sess,key,block,auc,std_wtw,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,std_wtw1,std_wtw2
s0001,1,"('s0001', 1)",1,10.149766541465254,3.790738361897444,12.0,0.7415,0.8068965517241381,0.03643460163073003,LP,8.670027520685695,12.0,4.603931902168784,0.0
s0001,1,"('s0001', 1)",2,11.162408584169455,1.9560082479809082,,0.709,0.8590000000000002,0.06007042214103577,HP,11.164047619047619,11.148340000000001,1.9593861310504725,1.9438268658499402
s0003,1,"('s0003', 1)",1,3.9080588731444,1.6760357026912938,12.0,0.787,0.831344827586207,0.033846812980607134,LP,3.959526967285588,3.8490915750915757,1.8468850727872694,1.42325441792188
s0003,1,"('s0003', 1)",2,8.127521538615307,4.457391085971122,,0.726,0.7797499999999999,0.018022109781383043,HP,6.2442029701230926,10.849857142857141,4.397112140944751,2.8667956628348974
s0005,1,"('s0005', 1)",1,5.536144230769231,1.7026518890871563,10.58,0.7084999999999999,0.7781129032258064,0.019459570201952,LP,5.948733333333333,5.082417777777778,2.198638629967459,0.614446101890471
s0005,1,"('s0005', 1)",2,10.688482926829268,2.6030186080969058,,0.837,0.8197090909090909,0.01749681761339884,HP,10.291833333333333,11.299657754010695,2.967796582576972,1.8066377583288673
s0006,1,"('s0006', 1)",1,7.228024083546462,1.5264973310283,12.0,0.745,0.7745932203389829,0.017823081501550115,LP,7.5825,6.905571157495256,1.8988910256351865,1.025621550875235
s0006,1,"('s0006', 1)",2,9.951942373991933,1.7860388820110413,,0.765,0.7285714285714286,0.029973652181088748,HP,8.8864992895709,10.965930803571428,1.5195051425720776,1.2021166013897546
s0007,1,"('s0007', 1)",1,5.017698522167488,2.1591876291055727,8.724,0.746,0.7656969696969694,0.013347117009286386,LP,6.550477040816326,3.5517927927927926,1.8506137094255226,1.0485442685892186
s0007,1,"('s0007', 1)",2,6.286856899649456,2.7657012254415774,,0.797,0.8124705882352942,0.024565505793761253,HP,6.160692233660814,6.470584273182958,2.1756461527927797,3.3444205360615
s0008,1,"('s0008', 1)",1,7.056724902607133,2.181757353047274,9.662,0.724,0.803072727272727,0.027628609612518718,LP,8.003111455108359,5.9422999999999995,2.2860786324826075,1.4125925845763176
s0008,1,"('s0008', 1)",2,8.070277037617556,1.548914003373319,,0.752,0.7749487179487179,0.020191487935104318,HP,8.604340544871796,7.48760435897436,1.4137782746351961,1.4717432416578695
s0009,1,"('s0009', 1)",1,3.9241100142045453,1.613068890785388,6.89,0.743,0.8271206896551725,0.02914570471274049,LP,4.6674098124098125,3.30170303030303,1.836595396137449,1.0449650318884385
s0009,1,"('s0009', 1)",2,3.524513531816391,0.9372290372716728,,0.837,0.8279473684210525,0.0421383734081648,HP,3.454453548387097,3.602955681818182,0.8779009019523213,0.985085088185518
s0010,1,"('s0010', 1)",1,5.199715036650433,2.855585385216722,12.0,0.693,0.768122807017544,0.024162309858815494,LP,7.205586514778326,3.791700930994153,2.8361646891520644,2.004181850982303
s0010,1,"('s0010', 1)",2,6.68942636602411,2.3963363061153014,,0.705,0.770394736842105,0.01955925507540678,HP,7.563438214285714,5.6956540657498635,2.2339683332669846,1.9662478943832395
s0011,1,"('s0011', 1)",1,5.053555244755244,2.0602676162764926,11.836,0.744,0.7252615384615385,0.019094784156293076,LP,6.349707142857143,3.6991604938271605,2.0691650173431313,0.7713241693618393
s0011,1,"('s0011', 1)",2,4.703973298727158,0.7797501149380975,,0.745,0.6838846153846154,0.02485897067155718,HP,4.868514367816092,4.534053235294117,0.6028599152205867,0.8981199240905172
s0012,1,"('s0012', 1)",1,5.043980603448276,1.101840073584165,6.33,0.763,0.8618620689655171,0.025949901979931474,LP,5.470763975155279,4.656330666666666,1.1123537939548789,0.9378145303450051
s0012,1,"('s0012', 1)",2,8.003866838649156,2.3150499643614757,,0.7255,0.7633684210526317,0.025074084718083495,HP,6.862864347826087,9.416170153920154,1.9023639817316222,1.8988525417357711
s0013,1,"('s0013', 1)",1,6.32003837837838,1.8356494127788152,10.268,0.689,0.7386885245901642,0.011837553627534941,LP,5.497170634920635,7.300105263157896,1.6814979901043579,1.480821496571799
s0013,1,"('s0013', 1)",2,8.884804186163102,2.486322751155199,,0.739,0.8262608695652172,0.04751948595221908,HP,7.39247145969499,11.194583333333332,1.9352695076010407,1.3985641719476287
s0014,1,"('s0014', 1)",1,8.18841234221599,2.3088564547653507,11.185,0.73,0.7040735294117648,0.014395959463170748,LP,7.122904320987654,10.151375000000002,2.165160353906721,0.7812224295135158
s0014,1,"('s0014', 1)",2,10.324668893467644,1.748081108248147,,0.7224999999999999,0.6976538461538458,0.014206421078633782,HP,9.795921436588104,11.362857142857143,1.774279768991865,1.3557866908258125
s0015,1,"('s0015', 1)",1,5.768020152505447,1.9420404353221183,11.483,0.727,0.764830508474576,0.01305435023524969,LP,5.466979032258065,6.2062857142857135,1.9640168084193939,1.8438737862135142
s0015,1,"('s0015', 1)",2,5.921939738195418,1.2822969687916141,,0.743,0.7652702702702702,0.014211881398954636,HP,5.785911166007905,6.2192608695652165,1.4600401093789221,1.50470706800975
s0016,1,"('s0016', 1)",1,5.272107840362055,2.345661138320113,12.0,0.711,0.8436349206349204,0.043072769152595884,LP,5.466072060669372,4.908059140974036,2.771003389367568,1.4504254338707665
s0016,1,"('s0016', 1)",2,6.574153443880453,1.6720460370899177,,0.722,1.1223939393939397,0.14907082236820046,HP,6.894079142720307,6.193276315789474,1.506806765287397,1.7643603096297418
s0017,1,"('s0017', 1)",1,2.0755499999999993,0.7043653801472641,4.562,0.703,0.7303508771929823,0.01929097935337856,LP,2.1710370370370367,1.9784897959183672,0.7827976758030372,0.6033284252141509
s0017,1,"('s0017', 1)",2,7.210545157649474,4.769653837994745,,0.503,0.5674468085106383,0.023441900256828557,HP,5.074143113425926,11.241611111111109,4.378255038192804,1.951739484519412
s0018,1,"('s0018', 1)",1,2.6660494505494508,0.9171557625730294,4.75,0.88,0.9223103448275861,0.02345877309272132,LP,2.799669731800767,2.524918714555766,0.9868112602401279,0.7772994821084473
s0018,1,"('s0018', 1)",2,5.407369906890989,2.5264305368882503,,0.887,0.8863142857142857,0.03381302179854217,HP,3.7148431818181815,7.928463541666669,1.390507745867368,1.4271094615822066
s0019,1,"('s0019', 1)",1,11.401418666666665,1.6573514318689992,12.0,0.684,0.875322033898305,0.12469225418511365,LP,10.936392857142856,12.0,2.098056317153803,0.0
s0019,1,"('s0019', 1)",2,10.489584719967533,2.486097917958266,,0.7155,0.7529821428571427,0.015038884359391349,HP,10.762856777493607,10.27360292070187,1.831239057545785,3.0327570057278086
s0020,1,"('s0020', 1)",1,9.83344730679157,2.0403409759069775,12.0,0.775,0.7468474576271187,0.012629923782588374,LP,10.411305555555554,9.413726190476192,2.10489466375985,1.8092069911795907
s0020,1,"('s0020', 1)",2,8.52932196034418,2.0393745174124835,,0.67,0.7232500000000002,0.013043214098824637,HP,8.993305,8.063759419152277,1.765423587124348,2.1833113847179266
s0021,1,"('s0021', 1)",1,7.730072138583919,2.7097596126972423,9.906,0.831,1.1719411764705883,0.1433663447722384,LP,7.544847355769231,7.929943562610229,2.7223090012366638,2.6483376504418388
s0021,1,"('s0021', 1)",2,10.856633795782466,2.7096048566763367,,0.8614999999999999,1.5743269230769228,0.25027896820134604,HP,10.196872180451129,11.551160000000001,3.172543525865608,1.799129382340248
s0022,1,"('s0022', 1)",1,4.797744283105817,1.9980183977048047,12.0,0.682,0.7518571428571428,0.021919903406559835,LP,5.1356021947873804,4.41102564102564,2.628852774173652,0.6831148976893286
s0022,1,"('s0022', 1)",2,10.177134919237751,2.483521518691967,,0.691,0.7326181818181822,0.012564820123395447,HP,9.169659841954022,11.596666666666666,2.8189444846850016,0.28549878380748955
s0025,1,"('s0025', 1)",1,7.95140077059286,3.090446317660813,7.893,0.816,0.9605666666666667,0.0945296290020185,LP,7.76420275789026,8.136630894591852,3.3365555393775987,2.786298816135827
s0025,1,"('s0025', 1)",2,9.052139667835988,3.273546614646836,,0.8055000000000001,0.8127400000000002,0.02510712743425659,HP,9.101955807078722,8.919288150042625,3.1088063651561515,3.469567959646125
s0026,1,"('s0026', 1)",1,4.759314009661835,0.9773069093778775,5.94,0.841,0.8073770491803278,0.01957883840170638,LP,5.102229484386347,4.444071759259259,1.1384152981470097,0.6770218463969657
s0026,1,"('s0026', 1)",2,5.151294405134642,1.392279675124731,,0.6995,0.7339285714285714,0.017460080458605885,HP,5.431105289001122,5.237163636363637,1.3511274721813402,2.3602595620010525
s0027,1,"('s0027', 1)",1,5.5341759156492785,1.8125140688396901,12.0,0.89,1.0853050847457626,0.09639470249699524,LP,6.464358888888889,4.729341517857142,1.9940681246244345,1.1697002981034972
s0027,1,"('s0027', 1)",2,4.338453194149916,1.469484282999517,,0.8514999999999999,0.8575416666666668,0.04590770402419564,HP,5.085325098039215,3.6729347826086967,1.315166602315569,1.2816153492196432
s0028,1,"('s0028', 1)",1,7.309638330393888,3.192012720313573,12.0,0.8,0.7878307692307692,0.01853883267079215,LP,7.0721772287581715,7.740804545454544,2.924632310795348,3.5443970705348042
s0028,1,"('s0028', 1)",2,11.832736842105264,1.0174220695414595,,0.828,0.8658524590163935,0.03209233048453824,HP,11.697333333333333,12.0,1.3535664823798734,0.0
s0029,1,"('s0029', 1)",1,4.61044406779661,2.3697269905167246,12.0,0.717,0.7655238095238095,0.014245496424356201,LP,6.740419047619048,2.8289375000000003,1.9480265607896499,0.4695723411719966
s0029,1,"('s0029', 1)",2,8.642620811841219,3.92096663199742,,0.725,0.8304716981132075,0.037457307880934765,HP,7.091274208144797,11.236730769230771,3.7450482988484044,2.645186449116909
s0030,1,"('s0030', 1)",1,6.505880381278271,3.001061917540125,12.0,0.7044999999999999,0.759983333333333,0.021640567507277553,LP,7.628291081012011,5.533967117281696,3.247217935532357,2.379745364379158
s0030,1,"('s0030', 1)",2,9.370001172746218,3.56351956120565,,0.75,0.96266,0.07118189438333318,HP,8.422693744360902,10.485429493087556,3.4230109309840153,3.3670342565320173
s0031,1,"('s0031', 1)",1,5.475314999999999,2.057710906407027,12.0,0.868,1.0229833333333334,0.07068840660747491,LP,6.1736537698412715,4.4752,2.4102248615224404,0.535173460410055
s0031,1,"('s0031', 1)",2,4.522259806295399,0.792221892178839,,0.8725,0.9302727272727275,0.04002944070575589,HP,4.458737680438029,4.617106481481482,0.7956006758540418,0.7812584356609046
s0032,1,"('s0032', 1)",1,7.344001727445083,2.996644953089124,12.0,0.777,0.9107666666666667,0.05027526654256471,LP,9.137185677749361,5.39649227944638,2.4983448836882265,2.0665556471997224
s0032,1,"('s0032', 1)",2,8.043823433367608,2.2717677663400884,,0.753,0.7467317073170731,0.01962246355620434,HP,7.899595177448739,8.211922686804748,2.141527657176744,2.4316738245464684
s0036,1,"('s0036', 1)",1,3.3972904245709126,1.8259123907880501,12.0,0.86,0.887142857142857,0.0492336579937553,LP,4.443800339558575,2.5607539525691703,2.1939197322861785,0.8549498481316584
s0036,1,"('s0036', 1)",2,3.558601946463975,1.175563858670518,,0.701,0.845142857142857,0.07706966797683934,HP,3.8089872,3.32474766995614,1.1721819936007698,1.1490761768625521
s0037,1,"('s0037', 1)",1,3.6503820038322163,2.6897889731262645,0.515,0.727,0.7536923076923074,0.024966212944756223,LP,4.750226150537635,2.705252481770404,3.2930537422048674,1.5573894231257133
s0037,1,"('s0037', 1)",2,4.188916991375292,2.6843099094992136,,0.748,0.7910384615384617,0.0595390946291433,HP,3.6494471380138895,4.863739503314742,2.3238740699836162,2.9001778185195377
s0038,1,"('s0038', 1)",1,3.578170884525279,2.754177354661001,12.0,0.7004999999999999,0.8157857142857141,0.08024458670424615,LP,4.200524494824669,3.0668569743855842,3.748220954013995,1.3366611449019867
s0038,1,"('s0038', 1)",2,4.946265866002983,2.096064563481809,,0.75,0.8098709677419355,0.03694901124127089,HP,5.343858201538329,4.456412655279503,2.3235847247258623,1.5516044921170475
s0039,1,"('s0039', 1)",1,6.268108047570675,2.553502200694689,8.509,0.7004999999999999,0.730609375,0.01133131673112547,LP,7.0370931313856975,5.326642361111111,3.036461166666514,1.325925942401503
s0039,1,"('s0039', 1)",2,6.8639808984328745,1.6904551742257656,,0.704,0.7091944444444443,0.0186410960542996,HP,6.992720052393428,6.759610389610389,1.8906939094148938,1.6659885836217059
s0040,1,"('s0040', 1)",1,2.196042362339673,0.6690308300342891,5.968,0.765,0.8231960784313728,0.033288077925216424,LP,2.3703307543520307,2.029164806547619,0.7484470543171812,0.5348577845548488
s0040,1,"('s0040', 1)",2,3.0459811645088153,1.1285751595430775,,0.763,0.915888888888889,0.13161763946307747,HP,2.9772233241238912,3.151913771712158,1.4876539091804586,0.5490398878004658
s0041,1,"('s0041', 1)",1,7.0667670616633735,2.6301229708160436,6.777,0.6964999999999999,0.7550000000000001,0.020182643542064078,LP,7.588034919028341,6.518521739130435,2.0207135004513055,3.1338980154540037
s0041,1,"('s0041', 1)",2,6.018336198995137,2.356593194801876,,0.701,0.6946176470588236,0.009732051593105593,HP,5.660803288024274,6.609128143536827,2.103181584265408,2.743384686876062
s0043,1,"('s0043', 1)",1,6.839611628360377,3.0399457031912616,9.228,0.9495,1.4314629629629625,0.13756239066606593,LP,7.357687203605723,6.173456896244673,3.3303309768087592,2.470599713646108
s0043,1,"('s0043', 1)",2,8.708078727134149,3.5348980718713845,,0.975,1.7071219512195124,0.30412397710550915,HP,9.184586776859504,8.151387451664007,3.053304878059129,3.90322713591649
s0044,1,"('s0044', 1)",1,11.065868265086205,2.51532382977566,12.0,0.815,0.8046499999999998,0.013710981507131022,LP,10.887150520833332,11.257140625,2.82552840896061,2.116514169625285
s0044,1,"('s0044', 1)",2,11.698272727272727,0.7493018072493268,,0.797,0.7758196721311474,0.024093559332074906,HP,11.717,11.705272727272726,0.49017037854199214,0.9320094703878081
s0045,1,"('s0045', 1)",1,5.468803309537685,2.237701070457842,7.629,0.742,0.8409830508474578,0.04566229718692342,LP,6.590456671982989,4.340011059907835,2.550605238732243,1.022886103847588
s0045,1,"('s0045', 1)",2,4.992399440173798,0.7598398409457021,,0.7155,0.7385714285714287,0.020270582168692784,HP,4.825362847222223,5.193156484962407,0.8106361668948681,0.6850070701934353
s0046,1,"('s0046', 1)",1,4.177302077884334,1.682729154610271,6.153,0.704,0.8202741935483866,0.03620100240472044,LP,5.366774232663887,3.1374242424242427,1.7781013735483584,0.5415100116762739
s0046,1,"('s0046', 1)",2,4.57446756302521,1.311155428821341,,0.724,0.7267307692307694,0.025196655977777066,HP,4.79896873385013,4.315493172268908,1.5200613909825362,0.9394507621728879
s0047,1,"('s0047', 1)",1,6.04333629905164,2.1853957644285917,4.061,0.861,0.8371230769230767,0.01862567430420439,LP,7.408964444444443,4.568499131944444,1.9473835160891662,1.1930672422138207
s0047,1,"('s0047', 1)",2,7.0826927787183065,1.6767497151113135,,0.888,0.9077368421052632,0.03938675839839696,HP,6.444336129032258,7.991410256410257,1.3634875193430889,1.6042073056662365
s0048,1,"('s0048', 1)",1,8.105882248616181,4.147104497430235,12.0,0.741,1.0821964285714285,0.09509066370444483,LP,7.903246437103269,8.466714227877386,4.023505282924473,4.370657582143334
s0048,1,"('s0048', 1)",2,8.987507563379172,3.9029706451027897,,0.7845,1.01894,0.07066184492355121,HP,9.355803649806319,8.606584573660962,3.696498522306894,4.0701846883843675
s0049,1,"('s0049', 1)",1,6.027405925155925,1.8638291233439785,12.0,0.677,0.7411791044776123,0.011909922656534006,LP,6.995557894736843,5.084111111111111,2.190852374933889,0.6132670857942063
s0049,1,"('s0049', 1)",2,7.746341766022003,3.5484995561061288,,0.764,0.7673333333333333,0.013566366363042696,HP,5.473147360126084,11.559846153846154,2.201509564941379,1.5247376493706326
s0050,1,"('s0050', 1)",1,6.6937416595589685,3.544444224630865,12.0,1.124,1.1468679245283022,0.03764787894977308,LP,7.118371752321982,6.112284643106255,3.6496038149397974,3.3653960367577485
s0050,1,"('s0050', 1)",2,5.898324891187836,2.0482022185858724,,1.096,1.0543939393939394,0.035685879313224374,HP,6.3355098433933215,5.399408855472013,2.201940504692893,1.7571009751642555
